68102,41.262140,-95.933833
68104,41.295431,-96.002289
68105,41.240737,-95.963660
68106,41.238785,-96.002274
68107,41.210119,-95.954200
68108,41.237553,-95.930102
68110,41.302498,-95.892524
68111,41.295458,-95.964916
68112,41.374859,-95.959052
68113,41.117865,-95.906494
68114,41.263218,-96.049586
68116,41.298337,-96.166754
68117,41.207121,-96.000644
68118,41.263231,-96.178098
68122,41.372501,-96.049201
68123,41.101821,-95.943504
68124,41.235473,-96.051334
68127,41.205610,-96.049760
68128,41.182074,-96.065315
68130,41.234208,-96.195267
68131,41.264565,-95.964472
68132,41.262331,-96.001137
68133,41.112562,-95.995484
68134,41.301477,-96.048846
68135,41.207379,-96.193646
68136,41.168702,-96.186946
68137,41.205825,-96.118601
68138,41.155227,-96.129236
68142,41.371146,-96.107080
68144,41.234983,-96.118450
68147,41.173061,-95.959746
68345,40.040809,-96.024634
68346,40.657703,-96.025186
68347,40.804571,-96.425835
68348,40.310315,-96.132908
68349,40.831630,-96.296896
68350,40.041468,-97.069559
68351,40.661354,-97.434625
68352,40.142403,-97.229238
70516,30.370902,-92.303577
70517,30.298246,-91.833570
70518,30.134781,-91.927467
70519,30.080175,-91.897382
70520,30.330999,-92.033704
70523,29.871779,-91.440008
70524,30.556953,-92.311285
70525,30.411533,-92.218808
70526,30.210073,-92.379963
70528,29.939505,-91.984992
70529,30.202279,-92.161580
70531,30.233947,-92.517483
70532,30.452737,-92.697025
70533,29.890140,-92.046464
70534,30.217040,-92.438180
70535,30.463256,-92.420164
70537,30.251621,-92.570192
70538,29.805551,-91.498353
70541,30.426726,-92.047560
74301,36.677726,-95.224726
74330,36.437107,-95.272373
74331,36.639422,-94.940409
74332,36.516971,-95.228630
74726,33.941237,-96.174339
74727,34.018744,-95.858764
74728,34.150313,-94.802807
74729,34.146610,-96.253977
